Model,ExoMode,HorizonIdx,NumPoints,NumFiniteWIS,MeanWIS,MeanRawScaleWIS,MedianWIS,StdWIS,RMSE,MedianPointForecastRMSE,MAE,MeanAbsoluteError,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth
N4SID,Both,6,176,176,0.0815471367642889,0.0815471367642889,0.00669427478755444,0.33702194895379,0.42875908756198,0.42875908756198,0.0949855948343973,0.0949855948343973,0.0105539549815997,0.00354842914165226,0.0438706610828139,0.0235740915582231,0.292613636363636,-0.494886363636364,0.589346590909091,0.0550039738765884
N4SID,Both,7,176,176,0.134059648637065,0.134059648637065,0.00806833177194547,0.777761874444602,1.19742194699416,1.19742194699416,0.173528610635617,0.173528610635617,0.0192809567372908,0.012999326560084,0.0730242350677428,0.0287551302719472,0.276988636363636,-0.510511363636364,0.596732954545455,0.201335549606543
N4SID,Both,8,176,176,0.320124038501305,0.320124038501305,0.00972685401208789,3.07720413859374,5.10927916396359,5.10927916396359,0.481267131465084,0.481267131465084,0.0534741257183427,0.0943270939083469,0.138476662244873,0.0338461566297418,0.265625,-0.521875,0.603409090909091,1.57207126372939
N4SID,Both,9,176,176,1.97738784267781,1.97738784267781,0.011650317020032,25.0753587855427,31.8124830688111,31.8124830688111,2.49478964897787,2.49478964897787,0.27719884988643,1.29504848647342,0.366281024653297,0.0388594816646696,0.268465909090909,-0.519034090909091,0.605539772727273,25.0602925975561
N4SID,Both,10,176,176,39.396305087525,39.396305087525,0.0141884174425446,521.186342714752,284.653525609477,284.653525609477,21.5775389747029,21.5775389747029,2.39750433052254,35.4808814646979,1.46684702837963,0.0510722639249446,0.265625,-0.521875,0.610227272727273,841.727070041714
N4SID,Both,11,176,176,2154.60717439967,2154.60717439967,0.017904660752505,28582.3734030275,3507.96463319694,3507.96463319694,264.564582180564,264.564582180564,29.3960646867293,2117.49422411266,7.6592333755288,0.0576522247610217,0.248579545454545,-0.538920454545455,0.6203125,61635.1902837718
N4SID,Both,12,176,176,265883.340040597,265883.340040597,0.0210400798971447,3527339.05217474,53500.5946163269,53500.5946163269,4032.92817534605,4032.92817534605,448.103130594006,265389.061473574,46.1116993372123,0.0637370917513475,0.234375,-0.553125,0.629403409090909,9072472.59905593
N4SID,Both,13,176,176,54998472.9703465,54998472.9703465,0.0236713018482369,729637192.918723,835122.665770095,835122.665770095,62949.955048917,62949.955048917,6994.43944987966,54991215.8343141,262.625511831561,0.0710706872712093,0.237215909090909,-0.550284090909091,0.628693181818182,2096196903.8874
N4SID,Both,14,176,176,11739987516.889,11739987516.889,0.0290424488465044,155748534543.926,9935742.63873761,9935742.63873761,748935.114648558,748935.114648558,83215.0127387286,11739903216.5255,1085.27355975774,0.0772355075989182,0.224431818181818,-0.563068181818182,0.638068181818182,478681908813.851
N4SID,I,1,176,176,0.00847294111827294,0.00847294111827294,8.26771876025509e-07,0.10980410616509,0.109819438854961,0.109819438854961,0.00850489192201037,0.00850489192201037,0.000944987991334486,9.69085191860093e-06,3.39942057397664e-05,0.00748426806928008,0.512784090909091,-0.274715909090909,0.413494318181818,0.000206722093256079
N4SID,I,2,176,176,0.0127093772373642,0.0127093772373642,1.87846831105737e-05,0.105852559476885,0.106331890180155,0.106331890180155,0.012836947569042,0.012836947569042,0.00142632750767133,4.02142280307683e-05,0.00261827819449725,0.00862455730716489,0.414772727272727,-0.372727272727273,0.488068181818182,0.00083827211905677
N4SID,I,3,176,176,0.0178853421563279,0.0178853421563279,3.68887335813041e-05,0.116904162600415,0.118029421184812,0.118029421184812,0.0182006818856663,0.0182006818856663,0.00202229798729626,0.000110735371745555,0.0050013133301694,0.0107509954671167,0.420454545454545,-0.367045454545454,0.486931818181818,0.00224777342310416
