Model,ExoMode,Strategy,ForecastConfiguration,OriginPosition,OriginDate,LeadTime,TargetDate,TargetRtEstimated,MedianForecast,Error,AbsoluteError,SquaredError,WIS,MeanCoverage,MeanIntervalWidth
"ARX","I","partA_online_fit","[4 1 1]",4,"21-Jan-2021",3,"24-Jan-2021",0.63532857797813,0.842104072965891,0.20677549498776,0.20677549498776,0.0427561053274334,0.100453964568853,0.75,1.03013851868755
"ARX","I","partA_online_fit","[4 1 1]",4,"21-Jan-2021",4,"25-Jan-2021",0.305758820413865,0.840747392274173,0.534988571860308,0.534988571860308,0.286212772021132,0.221694370921706,0.25,1.06510485102652
"ARX","I","partA_online_fit","[4 1 1]",4,"21-Jan-2021",5,"26-Jan-2021",0.528597767370158,0.878297502114752,0.349699734744594,0.349699734744594,0.122289904480439,0.13528655831228,0.75,1.18893836865287
"ARX","I","partA_online_fit","[4 1 1]",4,"21-Jan-2021",6,"27-Jan-2021",1.30003657355891,0.920703470395348,-0.379333103163566,0.379333103163566,0.143893603155701,0.125885502823689,1,1.22786199993437
"ARX","I","partA_online_fit","[4 1 1]",4,"21-Jan-2021",7,"28-Jan-2021",1.38384591568351,1.0455934489514,-0.338252466732113,0.338252466732113,0.114414731250359,0.126743756152778,1,1.27420519156792
"ARX","I","partA_online_fit","[4 1 1]",4,"21-Jan-2021",8,"29-Jan-2021",0.799759191261589,1.08252962898417,0.282770437722582,0.282770437722582,0.0799591204498205,0.128483121591255,1,1.49516314315603
"ARX","I","partA_online_fit","[4 1 1]",4,"21-Jan-2021",9,"30-Jan-2021",1.39937059146042,0.966024737876353,-0.433345853584067,0.433345853584067,0.187788628818503,0.154231423053995,1,1.47599019203811
"ARX","I","partA_online_fit","[4 1 1]",4,"21-Jan-2021",10,"31-Jan-2021",0.87022635910117,0.82883631730492,-0.0413900417962497,0.0413900417962497,0.0017131355598953,0.104313965226688,1,1.38779160574902
"ARX","I","partA_online_fit","[4 1 1]",4,"21-Jan-2021",11,"01-Feb-2021",0.365824340536838,0.843433303267683,0.477608962730845,0.477608962730845,0.228110321280833,0.196485245903264,0.75,1.37515416140516
"ARX","I","partA_online_fit","[4 1 1]",4,"21-Jan-2021",12,"02-Feb-2021",0.496302599890559,0.889411754591249,0.39310915470069,0.39310915470069,0.154534807509491,0.164969798130232,0.5,1.59661152824454
