date,t,I_observed,I_smoothed,Lambda_t,Rt_est,Rt_model_input,Rt_evaluation_proxy
2021-11-18,627,1205,865.714285714286,795.64004486681,1.0880727928409,1.0880727928409,1.0880727928409
2021-11-19,628,1130,894.571428571429,811.647769225985,1.10216705138551,1.10216705138551,1.10216705138551
2021-11-20,629,1320,952.714285714286,825.248024362963,1.15445812360438,1.15445812360438,1.15445812360438
2021-11-21,630,1092,990.142857142857,839.386788095543,1.17960262323089,1.17960262323089,1.17960262323089
2021-11-22,631,482,1014.57142857143,858.267701442798,1.18211535499457,1.18211535499457,1.18211535499457
2021-11-23,632,953,1068.57142857143,884.156769545854,1.20857687841976,1.20857687841976,1.20857687841976
2021-11-24,633,2079,1180.14285714286,915.384438130168,1.28923194232306,1.28923194232306,1.28923194232306
2021-11-25,634,2109,1309.28571428571,950.458855412273,1.3775301338192,1.3775301338192,1.3775301338192
2021-11-26,635,2115,1450,993.253392950883,1.4598490277412,1.4598490277412,1.4598490277412
2021-11-27,636,2026,1550.85714285714,1050.99238229809,1.47561216330233,1.47561216330233,1.47561216330233
2021-11-28,637,1759,1646.14285714286,1128.35681392396,1.45888502362852,1.45888502362852,1.45888502362852
2021-11-29,638,880,1703,1222.96596887173,1.39251626238719,1.39251626238719,1.39251626238719
2021-11-30,639,1347,1759.28571428571,1326.78765200033,1.32597383736074,1.32597383736074,1.32597383736074
2021-12-01,640,2659,1842.14285714286,1430.0628761357,1.28815514889854,1.28815514889854,1.28815514889854
2021-12-02,641,2426,1887.42857142857,1525.26639544817,1.23744191641617,1.23744191641617,1.23744191641617
2021-12-03,642,2209,1900.85714285714,1610.86507749636,1.18002256639115,1.18002256639115,1.18002256639115
2021-12-04,643,2155,1919.28571428571,1687.92036378046,1.13707124783249,1.13707124783249,1.13707124783249
2021-12-05,644,2084,1965.71428571429,1754.92110872972,1.12011547182149,1.12011547182149,1.12011547182149
2021-12-06,645,928,1972.57142857143,1809.75888432097,1.08996366624361,1.08996366624361,1.08996366624361
2021-12-07,646,2254,2102.14285714286,1854.13663166977,1.13375833325171,1.13375833325171,1.13375833325171
2021-12-08,647,3333,2198.42857142857,1891.56473174861,1.16222751171528,1.16222751171528,1.16222751171528
2021-12-09,648,3258,2317.28571428571,1930.128516784,1.20058622736003,1.20058622736003,1.20058622736003
2021-12-10,649,3073,2440.71428571429,1979.90840364074,1.23274101025391,1.23274101025391,1.23274101025391
2021-12-11,650,2870,2542.85714285714,2046.12461395058,1.24276748616376,1.24276748616376,1.24276748616376
2021-12-12,651,2396,2587.42857142857,2129.04956528332,1.215297479974,1.215297479974,1.215297479974
2021-12-13,652,1475,2665.57142857143,2224.46279134149,1.19829895062615,1.19829895062615,1.19829895062615
2021-12-14,653,2714,2731.28571428571,2323.21145678235,1.17565093195113,1.17565093195113,1.17565093195113
2021-12-15,654,4067,2836.14285714286,2417.11038606576,1.17336091619677,1.17336091619677,1.17336091619677
2021-12-16,655,4011,2943.71428571429,2503.59342013562,1.17579566316116,1.17579566316116,1.17579566316116
2021-12-17,656,4121,3093.42857142857,2585.68121500593,1.19636889245122,1.19636889245122,1.19636889245122
2021-12-18,657,4181,3280.71428571429,2669.30547723341,1.22905164421817,1.22905164421817,1.22905164421817
2021-12-19,658,3389,3422.57142857143,2761.26765800189,1.23949281724035,1.23949281724035,1.23949281724035
2021-12-20,659,2020,3500.42857142857,2868.55861008818,1.22027437721447,1.22027437721447,1.22027437721447
2021-12-21,660,3036,3546.42857142857,2992.57325542128,1.185076610908,1.185076610908,1.185076610908
2021-12-22,661,4673,3633,3124.33421228394,1.16280773859472,1.16280773859472,1.16280773859472
